time_years,pH,gems_code,rate_Qtz_mol_s,Ca/Si in CSH
287.0,12.677079430686147,2,1.5283911015103473e-10,1.2246047346523166
288.0,12.673529549854432,2,1.523809762424561e-10,1.2236662740673223
289.0,12.670013552191312,2,1.5192830633667197e-10,1.2227220371523113
290.0,12.666531414316797,2,1.5148103395329239e-10,1.2217720837900776
291.0,12.663083079172925,2,1.5103911558172204e-10,1.2208164698037005
292.0,12.659668476139764,2,1.5060250336813472e-10,1.2198552570824255
293.0,12.656287502663373,2,1.5017115018479296e-10,1.2188885063169184
294.0,12.652940036624516,2,1.4974500470130547e-10,1.2179162817983213
295.0,12.64962592881963,2,1.4932401437109505e-10,1.2169386483025038
296.0,12.646345008965557,2,1.4890812377634156e-10,1.2159556739519821
297.0,12.64309708386625,2,1.4849727643720332e-10,1.2149674274969708
298.0,12.639881937270314,2,1.4809141343726909e-10,1.2139739799121865
299.0,12.636699332494464,2,1.476904740486312e-10,1.2129754038527694
300.0,12.633549011577635,2,1.4729439607562607e-10,1.21197177437686
301.0,12.630430696168654,2,1.4690311562823489e-10,1.2109631675480848
302.0,12.627344088507883,2,1.4651656720747858e-10,1.2099496605728874
303.0,12.62428887288337,2,1.461346838035989e-10,1.2089313339408454
304.0,12.621264713910012,2,1.4575739747988184e-10,1.2079082697291592
305.0,12.61827126660845,2,1.4538463856775138e-10,1.2068805459911611
306.0,12.615308146955941,2,1.4501633731815502e-10,1.2058482553511336
307.0,12.612374997183023,2,1.446524202502703e-10,1.204811474400106
308.0,12.60947141101863,2,1.4429281774106193e-10,1.2037702957938847
309.0,12.606596966786377,2,1.4393745563464293e-10,1.2027248073137693
310.0,12.603751258172126,2,1.435862584944706e-10,1.201675096904204
311.0,12.600933836889853,2,1.4323915418746374e-10,1.2006212563611265
312.0,12.59814426688567,2,1.4289606591259592e-10,1.199563381004011
313.0,12.595382092840344,2,1.425569194443572e-10,1.198501558511094
314.0,12.59264685102971,2,1.4222163907708193e-10,1.197435886605598
315.0,12.58993806011432,2,1.418901492933972e-10,1.196366461247283
316.0,12.58725525954787,2,1.415623730164779e-10,1.1952933738615892
317.0,12.58459795315775,2,1.412382362653955e-10,1.1942167244604345
318.0,12.581965654084518,2,1.4091766239267246e-10,1.193136610475709
319.0,12.579357866383255,2,1.406005759166459e-10,1.1920531304312747
320.0,12.576774088590259,2,1.4028690165088395e-10,1.1909663846093843
321.0,12.57421383578014,2,1.399765642921531e-10,1.189876466822177
322.0,12.57167659258477,2,1.3966949103796554e-10,1.1887834810989764
323.0,12.569161848748925,2,1.3936560657392644e-10,1.1876875299683762
324.0,12.56666911547084,2,1.3906483695410138e-10,1.1865887083531306
325.0,12.564197888123113,2,1.387671110420753e-10,1.1854871173927872
326.0,12.561747655405995,2,1.384723567534374e-10,1.1843828613776783
327.0,12.559317915891864,2,1.3818050201578974e-10,1.1832760376876774
328.0,12.55690818551741,2,1.3789147663041676e-10,1.1821667497144437
329.0,12.554517952194354,2,1.3760521224831665e-10,1.1810550958154842
330.0,12.552146729369657,2,1.3732163901887582e-10,1.179941177813404
331.0,12.549794034191752,2,1.3704068991326215e-10,1.1788250940770828
332.0,12.547459372002226,2,1.3676229901472122e-10,1.1777069478442777
333.0,12.54514227290547,2,1.3648639964476406e-10,1.1765868341028873
334.0,12.542842252862837,2,1.3621292844167195e-10,1.1754648562396426
335.0,12.540558850262265,2,1.3594182110399104e-10,1.1743411139931705
336.0,12.538291605425078,2,1.3567301634882467e-10,1.1732156960922828
337.0,12.536040046824619,2,1.3540645289538987e-10,1.1720887177894368
338.0,12.533803743929797,2,1.351420700717391e-10,1.1709602497067488
339.0,12.531582245231075,2,1.3487981039674882e-10,1.1698304124539505
340.0,12.52937511517357,2,1.3461961628929658e-10,1.1686992854251408
341.0,12.527181923500645,2,1.3436143111630567e-10,1.167566972540362
342.0,12.525002257831638,2,1.3410519976805634e-10,1.166433554900486
343.0,12.522835693134496,2,1.3385086965857707e-10,1.1652991536917237
344.0,12.520681837241725,2,1.335983863128574e-10,1.164163834972965
345.0,12.518540278595715,2,1.3334770047438136e-10,1.1630276903493002
346.0,12.516410635095507,2,1.3309876002379852e-10,1.1618908160863761
347.0,12.514292535738623,2,1.3285151736894535e-10,1.1607533023245367
348.0,12.512185591427068,2,1.326059254218552e-10,1.1596152329785832
349.0,12.51008944327041,2,1.323619363954583e-10,1.158476696755208
350.0,12.50800373626268,2,1.3211950554331557e-10,1.157337777174215
351.0,12.505928119061315,2,1.3187858908121667e-10,1.1561985597921016
352.0,12.50386225087653,2,1.3163914375863345e-10,1.1550591252040197
353.0,12.501805799567162,2,1.3140112778830942e-10,1.153919559489918
354.0,12.499758440254205,2,1.3116450048839313e-10,1.1527799366312927
355.0,12.497719861818442,2,1.3092922254846367e-10,1.1516403413560437
356.0,12.495689736628789,2,1.306952560205505e-10,1.1505008491693336
357.0,12.493667787032136,2,1.3046256156942744e-10,1.149361536969098
358.0,12.491653710381055,2,1.3023110542924277e-10,1.1482224781527484
359.0,12.489647226074677,2,1.3000085148088923e-10,1.1470837488280041
360.0,12.487648034374923,2,1.297717659044193e-10,1.1459454218879397
361.0,12.485655890484168,2,1.2954381308250638e-10,1.1448075676213465
362.0,12.483670517876599,2,1.2931696396243212e-10,1.1436702577965023
363.0,12.48169166493502,2,1.290911857429496e-10,1.1425335567881467
364.0,12.479719075859245,2,1.2886644854484147e-10,1.1413975338055864
365.0,12.477752514028976,2,1.2864272215439498e-10,1.1402622563794178
366.0,12.475791738952013,2,1.2841997892134453e-10,1.1391277867828609
367.0,12.473836527501566,2,1.2819819079534906e-10,1.1379941904200264
368.0,12.4718866437537,2,1.2797733140242158e-10,1.136861527863755
369.0,12.469941883252451,2,1.2775737356177478e-10,1.1357298601726054
370.0,12.468002033856484,2,1.2753829329659747e-10,1.1345992434588748
371.0,12.466066884142545,2,1.273200661304467e-10,1.1334697385524628
372.0,12.464136241727791,2,1.2710266758112403e-10,1.1323414047060762
373.0,12.462209906463457,2,1.2688607541988298e-10,1.1312142933653895
374.0,12.460287701115998,2,1.2667026688611966e-10,1.1300884573567016
375.0,12.458369434795072,2,1.2645522147611285e-10,1.1289639534532783
376.0,12.456454930882149,2,1.262409175995508e-10,1.1278408305405145
377.0,12.45454402369759,2,1.260273349327455e-10,1.1267191375661159
378.0,12.452636541634325,2,1.258144547165033e-10,1.1255989256262202
379.0,12.450732322064528,2,1.2560225747401713e-10,1.124480242225423
380.0,12.448831208376685,2,1.2539072493105077e-10,1.1233631337796288
381.0,12.446933047993765,2,1.251798395047649e-10,1.1222476450664527
382.0,12.44503769148305,2,1.249695839382864e-10,1.1211338203082892
383.0,12.44314499809705,2,1.2475994154878026e-10,1.1200217020008352
384.0,12.441254823809956,2,1.2455089652460425e-10,1.1189113334610081
385.0,12.439367035185933,2,1.2434243305333028e-10,1.1178027532259807
386.0,12.437481497072921,2,1.2413453607532224e-10,1.1166960021699845
387.0,12.435598085324282,2,1.2392719086140193e-10,1.1155911185433403
388.0,12.433716679395982,2,1.237203835465395e-10,1.1144881393073212
389.0,12.431837148045647,2,1.2351410070090961e-10,1.1133870999486017
390.0,12.429959380125611,2,1.233083283537717e-10,1.1122880366198815
391.0,12.428083258959608,2,1.2310305404053176e-10,1.1111909844916426
392.0,12.426208679544702,2,1.2289826524730271e-10,1.1100959745526524
393.0,12.424335526850093,2,1.2269395033416888e-10,1.1090030399351938
394.0,12.422463701403327,2,1.2249009698406706e-10,1.1079122122908238
395.0,12.420593097233077,2,1.2228669446392855e-10,1.106823522228776
396.0,12.418723627255929,2,1.2208373147385837e-10,1.1057369959854195
397.0,12.416855184324744,2,1.2188119825061802e-10,1.1046526646045376
398.0,12.414987675689128,2,1.2167908364143106e-10,1.1035705547144752
